,nearest_public_figure_id,econ,dipl,govt,scty,age,sex,study,work,nearest_result_id,date
30,6.0,37.5,10.0,2.5,56.0,Between 26 and 35,M,High School,Permanent Employee,12.0,2020-09-15
31,2.0,52.5,17.5,82.5,91.0,Between 36 and 45,M,Master's Degree,Freelance,21.0,2020-09-15
33,4.0,45.0,20.0,27.5,63.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
35,4.0,47.5,25.0,15.0,89.5,Between 26 and 35,M,Master's Degree,Permanent Employee,12.0,2020-09-15
36,5.0,-40.0,0.0,40.0,-12.0,Between 18 and 25,M,Bachelor's Degree,Post-Doc,41.0,2020-09-15
37,6.0,17.5,-7.5,-7.5,53.5,Between 18 and 25,N,I'd rather not answer,I'd rather not answer,27.0,2020-09-15
38,5.0,75.0,-40.0,-50.0,32.5,Between 36 and 45,M,High School,Freelance,9.0,2020-09-15
39,6.0,47.5,10.0,0.0,34.0,Between 26 and 35,M,High School,Freelance,12.0,2020-09-15
40,4.0,65.0,10.0,0.0,106.0,Between 26 and 35,M,Master's Degree,Freelance,12.0,2020-09-15
41,3.0,32.5,10.0,-22.5,35.5,Between 36 and 45,F,High School,Permanent Employee,16.0,2020-09-15
42,2.0,57.5,30.0,52.5,87.5,Between 26 and 35,F,High School,Permanent Employee,12.0,2020-09-15
43,2.0,72.5,15.0,50.0,73.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
44,4.0,50.0,27.5,25.0,64.5,Between 26 and 35,M,Bachelor's Degree,Permanent Employee,12.0,2020-09-15
45,4.0,35.0,17.5,15.0,46.5,Between 18 and 25,M,High School,University Student,19.0,2020-09-15
46,2.0,52.5,17.5,65.0,120.0,Between 26 and 35,F,I'd rather not answer,I'd rather not answer,21.0,2020-09-15
49,4.0,47.5,12.5,20.0,57.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
50,4.0,77.5,0.0,10.0,76.0,More than 65,F,Master's Degree,Retired,12.0,2020-09-15
51,3.0,42.5,15.0,-30.0,28.0,Between 26 and 35,M,High School,Looking for employment,13.0,2020-09-15
52,6.0,50.0,-7.5,-5.0,50.0,Between 46 and 55,M,Master's Degree,Public Employee,13.0,2020-09-15
54,2.0,37.5,-5.0,60.0,93.5,Between 36 and 45,M,First Level Master Degree,Looking for employment,19.0,2020-09-15
55,2.0,55.0,62.5,80.0,92.0,Between 26 and 35,F,Master's Degree,Fixed Term Employee,14.0,2020-09-15
56,3.0,60.0,0.0,-27.5,36.5,Between 26 and 35,M,High School,Fixed Term Employee,13.0,2020-09-15
57,6.0,22.5,2.5,7.5,41.0,More than 65,M,High School,Retired,28.0,2020-09-15
58,6.0,47.5,12.5,-5.0,61.0,Less than 18,M,Middle School,Student,12.0,2020-09-15
59,2.0,55.0,47.5,87.5,97.0,Between 36 and 45,M,Master's Degree,Public Employee,14.0,2020-09-15
60,4.0,60.0,30.0,12.5,53.0,Between 36 and 45,F,Master's Degree,Public Employee,12.0,2020-09-15
61,2.0,40.0,25.0,67.5,91.5,Between 26 and 35,F,Master's Degree,Post-Doc,21.0,2020-09-15
62,4.0,82.5,5.0,30.0,81.0,Between 46 and 55,M,High School,Public Employee,12.0,2020-09-15
63,4.0,42.5,25.0,20.0,77.5,Between 36 and 45,M,Master's Degree,Freelance,12.0,2020-09-15
64,3.0,45.0,-10.0,-20.0,33.0,Between 26 and 35,F,High School,Permanent Employee,13.0,2020-09-15
66,5.0,45.0,-57.5,-67.5,-6.5,Between 26 and 35,M,Master's Degree,Freelance,10.0,2020-09-15
68,2.0,50.0,17.5,37.5,86.0,Between 26 and 35,F,First Level Master Degree,Fixed Term Employee,12.0,2020-09-15
69,6.0,45.0,-7.5,2.5,34.0,Between 26 and 35,M,High School,Permanent Employee,13.0,2020-09-15
71,5.0,37.5,-20.0,-32.5,34.0,Between 46 and 55,F,High School,I'd rather not answer,16.0,2020-09-15
72,6.0,37.5,-10.0,7.5,45.0,Between 26 and 35,F,PhD,Post-Doc,13.0,2020-09-15
73,4.0,80.0,-10.0,5.0,66.0,Between 56 and 65,M,High School,Public Employee,12.0,2020-09-15
74,4.0,60.0,-7.5,30.0,87.0,Between 36 and 45,M,Bachelor's Degree,Permanent Employee,12.0,2020-09-15
75,3.0,32.5,-15.0,-17.5,26.5,Between 56 and 65,M,High School,Freelance,16.0,2020-09-15
78,3.0,50.0,-10.0,-25.0,35.0,Between 18 and 25,M,High School,Looking for employment,13.0,2020-09-15
79,2.0,47.5,27.5,42.5,93.5,Between 26 and 35,F,High School,Fixed Term Employee,21.0,2020-09-15
82,5.0,30.0,-15.0,-30.0,27.5,Between 36 and 45,M,Master's Degree,Public Employee,16.0,2020-09-15
84,6.0,62.5,35.0,-17.5,30.5,Less than 18,F,High School,Student,12.0,2020-09-15
85,6.0,47.5,-22.5,7.5,23.5,Between 36 and 45,F,Middle School,Freelance,13.0,2020-09-15
87,4.0,55.0,15.0,32.5,79.5,Between 26 and 35,F,High School,I'd rather not answer,12.0,2020-09-15
89,2.0,75.0,52.5,87.5,127.0,Between 26 and 35,N,Master's Degree,Public Employee,2.0,2020-09-15
90,3.0,52.5,0.0,-22.5,32.0,Between 26 and 35,F,Master's Degree,Permanent Employee,13.0,2020-09-15
91,5.0,42.5,-22.5,-45.0,26.0,Between 46 and 55,F,Master's Degree,Freelance,16.0,2020-09-15
92,4.0,47.5,25.0,22.5,61.0,Between 26 and 35,F,Bachelor's Degree,University Student,12.0,2020-09-15
94,5.0,20.0,17.5,-10.0,-5.5,Between 36 and 45,M,Master's Degree,Public Employee,27.0,2020-09-15
95,5.0,-35.0,10.0,45.0,-36.0,Between 36 and 45,M,Master's Degree,Public Employee,41.0,2020-09-15
96,6.0,57.5,15.0,-5.0,44.0,Between 46 and 55,F,High School,I'd rather not answer,12.0,2020-09-15
97,6.0,47.5,5.0,0.0,59.5,Between 18 and 25,M,High School,University Student,12.0,2020-09-15
98,6.0,50.0,2.5,2.5,51.5,Between 26 and 35,F,Bachelor's Degree,Fixed Term Employee,12.0,2020-09-15
100,3.0,30.0,20.0,-10.0,14.0,Between 26 and 35,F,Master's Degree,Looking for employment,27.0,2020-09-15
101,4.0,35.0,5.0,45.0,77.0,Between 26 and 35,M,Master's Degree,Looking for employment,19.0,2020-09-15
103,6.0,47.5,10.0,-15.0,66.5,Between 26 and 35,M,High School,Freelance,12.0,2020-09-15
104,2.0,30.0,52.5,117.5,123.5,Between 36 and 45,M,Master's Degree,Permanent Employee,14.0,2020-09-15
105,3.0,40.0,10.0,-25.0,34.0,Between 46 and 55,F,Master's Degree,I'd rather not answer,13.0,2020-09-15
106,6.0,50.0,-5.0,-40.0,66.5,Between 26 and 35,M,High School,Public Employee,13.0,2020-09-15
107,2.0,57.5,15.0,32.5,92.5,Between 18 and 25,F,Bachelor's Degree,University Student,12.0,2020-09-15
108,5.0,45.0,-15.0,-40.0,4.0,Between 18 and 25,M,High School,Student,16.0,2020-09-15
109,4.0,45.0,22.5,32.5,63.5,Between 26 and 35,M,Vocational qualification,Freelance,19.0,2020-09-15
110,2.0,70.0,5.0,27.5,97.5,Between 18 and 25,F,Bachelor's Degree,University Student,12.0,2020-09-15
111,3.0,47.5,-17.5,-10.0,37.5,Between 26 and 35,M,High School,Entrepreneur,13.0,2020-09-15
117,4.0,70.0,27.5,0.0,74.0,Between 46 and 55,N,I'd rather not answer,I'd rather not answer,12.0,2020-09-15
118,5.0,55.0,-20.0,-70.0,8.0,Between 18 and 25,M,High School,Looking for employment,9.0,2020-09-15
119,4.0,55.0,10.0,10.0,72.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
120,6.0,47.5,10.0,0.0,47.5,Between 26 and 35,F,Bachelor's Degree,Public Employee,12.0,2020-09-15
121,5.0,35.0,-25.0,-40.0,-12.0,Between 18 and 25,M,Bachelor's Degree,Freelance,16.0,2020-09-15
122,6.0,40.0,-10.0,10.0,44.0,Between 26 and 35,M,First Level Master Degree,Freelance,13.0,2020-09-15
123,4.0,52.5,12.5,25.0,73.0,Between 26 and 35,F,High School,Student,12.0,2020-09-15
124,4.0,27.5,30.0,25.0,51.0,Between 36 and 45,M,High School,Permanent Employee,19.0,2020-09-15
125,2.0,65.0,27.5,50.0,108.5,Between 26 and 35,F,High School,University Student,12.0,2020-09-15
126,5.0,30.0,-27.5,-35.0,12.5,Between 26 and 35,M,Master's Degree,Permanent Employee,16.0,2020-09-15
127,4.0,27.5,7.5,25.0,78.5,Between 26 and 35,F,Bachelor's Degree,University Student,19.0,2020-09-15
128,4.0,20.0,22.5,15.0,66.5,Between 26 and 35,F,First Level Master Degree,Freelance,19.0,2020-09-15
131,6.0,35.0,0.0,20.0,31.0,Between 56 and 65,F,Master's Degree,Public Employee,28.0,2020-09-15
132,3.0,40.0,15.0,5.0,14.0,Between 46 and 55,F,Master's Degree,I'd rather not answer,13.0,2020-09-15
133,3.0,67.5,-10.0,-45.0,38.0,Between 46 and 55,M,High School,Permanent Employee,9.0,2020-09-15
134,5.0,27.5,5.0,-22.5,4.0,Between 56 and 65,M,High School,Freelance,27.0,2020-09-15
135,4.0,67.5,7.5,17.5,57.5,Between 36 and 45,F,First Level Master Degree,Permanent Employee,12.0,2020-09-15
142,5.0,42.5,-15.0,-75.0,13.0,Between 18 and 25,F,Master's Degree,University Student,16.0,2020-09-15
143,2.0,67.5,52.5,37.5,125.0,Between 36 and 45,M,PhD,Freelance,2.0,2020-09-15
144,2.0,55.0,35.0,47.5,86.0,Between 18 and 25,M,Master's Degree,University Student,12.0,2020-09-15
145,4.0,65.0,25.0,20.0,61.0,Between 18 and 25,F,High School,University Student,12.0,2020-09-15
146,2.0,72.5,7.5,25.0,96.0,Between 26 and 35,F,Master's Degree,Public Employee,12.0,2020-09-15
149,5.0,40.0,-22.5,-42.5,16.5,Between 26 and 35,M,Master's Degree,Permanent Employee,16.0,2020-09-15
150,4.0,37.5,15.0,22.5,61.0,Between 26 and 35,M,Master's Degree,Permanent Employee,19.0,2020-09-15
151,5.0,35.0,5.0,-25.0,13.0,Between 56 and 65,M,High School,Retired,16.0,2020-09-15
154,5.0,30.0,15.0,-30.0,22.5,Between 26 and 35,F,Master's Degree,Fixed Term Employee,16.0,2020-09-15
155,6.0,17.5,20.0,7.5,24.5,Less than 18,M,I'd rather not answer,I'd rather not answer,28.0,2020-09-15
158,4.0,27.5,17.5,27.5,82.5,Between 26 and 35,F,Bachelor's Degree,University Student,19.0,2020-09-15
161,5.0,12.5,-22.5,-35.0,18.0,Between 56 and 65,M,Middle School,Permanent Employee,27.0,2020-09-15
162,6.0,-35.0,5.0,85.0,-27.0,Between 26 and 35,M,Vocational qualification,Permanent Employee,47.0,2020-09-15
165,5.0,60.0,5.0,-42.5,-1.0,Between 46 and 55,F,I'd rather not answer,I'd rather not answer,9.0,2020-09-15
167,2.0,50.0,17.5,35.0,121.0,Between 26 and 35,F,First Level Master Degree,Fixed Term Employee,12.0,2020-09-15
168,5.0,37.5,-15.0,-47.5,18.0,Between 36 and 45,F,Vocational qualification,Freelance,16.0,2020-09-15
169,3.0,60.0,-5.0,-22.5,24.0,Between 36 and 45,F,Master's Degree,Permanent Employee,13.0,2020-09-15
170,4.0,22.5,7.5,25.0,43.0,Between 56 and 65,F,Middle School,I'd rather not answer,28.0,2020-09-15
171,6.0,50.0,0.0,-10.0,37.0,Between 26 and 35,M,Bachelor's Degree,Permanent Employee,13.0,2020-09-15
172,6.0,57.5,27.5,-7.5,31.5,Between 56 and 65,F,High School,Public Employee,12.0,2020-09-15
173,2.0,52.5,37.5,60.0,68.5,Between 26 and 35,F,Master's Degree,Looking for employment,21.0,2020-09-15
175,2.0,50.0,22.5,52.5,119.5,Between 26 and 35,M,PhD,Permanent Employee,21.0,2020-09-15
176,6.0,55.0,20.0,-15.0,39.5,Between 26 and 35,F,Bachelor's Degree,I'd rather not answer,12.0,2020-09-15
177,5.0,25.0,-22.5,-17.5,28.0,Between 26 and 35,M,Master's Degree,Entrepreneur,16.0,2020-09-15
178,5.0,-27.5,-42.5,-85.0,-24.5,Between 26 and 35,M,Master's Degree,Freelance,30.0,2020-09-15
179,5.0,-40.0,-62.5,-47.5,-29.5,Between 26 and 35,F,Master's Degree,Public Employee,30.0,2020-09-15
180,3.0,47.5,0.0,-17.5,19.0,Between 26 and 35,F,Master's Degree,Freelance,13.0,2020-09-15
181,6.0,30.0,22.5,-7.5,44.0,Between 56 and 65,F,High School,Public Employee,19.0,2020-09-15
183,5.0,-25.0,-52.5,-60.0,-24.5,Between 26 and 35,M,Master's Degree,Freelance,30.0,2020-09-15
187,2.0,37.5,7.5,45.0,97.0,Between 18 and 25,F,Bachelor's Degree,University Student,19.0,2020-09-15
188,6.0,45.0,15.0,2.5,51.0,Between 26 and 35,M,High School,Entrepreneur,12.0,2020-09-15
192,6.0,67.5,15.0,-20.0,54.0,Between 26 and 35,F,Bachelor's Degree,Fixed Term Employee,12.0,2020-09-15
194,5.0,0.0,0.0,-10.0,0.0,More than 65,M,High School,Retired,27.0,2020-09-15
195,4.0,55.0,20.0,17.5,58.5,Between 36 and 45,F,Master's Degree,Freelance,12.0,2020-09-15
198,3.0,30.0,12.5,-17.5,33.5,Between 36 and 45,F,High School,Freelance,16.0,2020-09-15
199,2.0,75.0,57.5,65.0,118.0,Between 26 and 35,F,Bachelor's Degree,Freelance,2.0,2020-09-15
200,2.0,32.5,22.5,77.5,91.0,Between 36 and 45,F,High School,Freelance,21.0,2020-09-15
202,4.0,57.5,12.5,27.5,59.0,Between 36 and 45,F,Master's Degree,Freelance,12.0,2020-09-15
203,5.0,-5.0,-57.5,-122.5,-42.0,Between 46 and 55,M,I'd rather not answer,I'd rather not answer,37.0,2020-09-15
204,4.0,45.0,5.0,15.0,63.5,Between 26 and 35,F,High School,Fixed Term Employee,12.0,2020-09-15
205,6.0,55.0,-22.5,12.5,50.0,Between 36 and 45,M,PhD,I'd rather not answer,13.0,2020-09-15
206,6.0,32.5,-5.0,15.0,43.5,Between 56 and 65,F,High School,Retired,28.0,2020-09-15
207,5.0,42.5,12.5,-10.0,8.0,More than 65,N,I'd rather not answer,I'd rather not answer,13.0,2020-09-15
209,4.0,62.5,25.0,5.0,77.0,Between 46 and 55,M,High School,Permanent Employee,12.0,2020-09-15
210,2.0,72.5,35.0,45.0,89.5,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-15
212,4.0,45.0,22.5,40.0,63.5,Between 36 and 45,M,Bachelor's Degree,Freelance,19.0,2020-09-15
213,6.0,50.0,2.5,-2.5,45.0,Between 46 and 55,F,Middle School,Freelance,12.0,2020-09-15
214,5.0,2.5,-42.5,-50.0,0.5,Between 26 and 35,M,Master's Degree,Student,37.0,2020-09-15
215,2.0,67.5,45.0,72.5,83.5,Between 46 and 55,M,I'd rather not answer,Entrepreneur,14.0,2020-09-15
216,3.0,55.0,12.5,-35.0,29.0,Between 46 and 55,F,Master's Degree,Public Employee,13.0,2020-09-15
217,3.0,45.0,5.0,-17.5,28.0,Between 36 and 45,F,Vocational qualification,Looking for employment,13.0,2020-09-15
218,6.0,50.0,15.0,0.0,51.0,Between 26 and 35,M,Bachelor's Degree,Entrepreneur,12.0,2020-09-15
219,4.0,75.0,47.5,12.5,78.5,Between 36 and 45,M,High School,Permanent Employee,4.0,2020-09-15
220,2.0,77.5,35.0,77.5,94.5,Between 36 and 45,M,Bachelor's Degree,Freelance,2.0,2020-09-15
223,6.0,42.5,2.5,-2.5,36.5,Between 36 and 45,M,First Level Master Degree,Permanent Employee,13.0,2020-09-15
225,5.0,5.0,5.0,5.0,5.0,Between 26 and 35,F,I'd rather not answer,I'd rather not answer,27.0,2020-09-15
226,5.0,-75.0,-90.0,-120.0,-139.5,Between 36 and 45,M,Bachelor's Degree,Freelance,39.0,2020-09-15
227,4.0,50.0,5.0,15.0,51.0,Between 18 and 25,F,High School,Permanent Employee,12.0,2020-09-15
228,4.0,65.0,20.0,7.5,46.0,Between 36 and 45,M,High School,Freelance,12.0,2020-09-15
229,5.0,57.5,-35.0,-75.0,8.0,Between 46 and 55,F,Middle School,I'd rather not answer,9.0,2020-09-15
230,4.0,50.0,5.0,7.5,68.5,Between 36 and 45,F,Master's Degree,Permanent Employee,12.0,2020-09-15
231,2.0,70.0,52.5,120.0,122.0,Between 26 and 35,F,Master's Degree,Permanent Employee,2.0,2020-09-15
232,2.0,62.5,60.0,117.5,144.5,Between 26 and 35,M,Master's Degree,Public Employee,14.0,2020-09-15
233,5.0,20.0,-37.5,-42.5,7.5,Between 46 and 55,F,Middle School,Freelance,16.0,2020-09-15
234,2.0,65.0,20.0,12.5,116.5,Between 18 and 25,F,High School,University Student,12.0,2020-09-15
235,3.0,42.5,-15.0,-22.5,38.5,Between 18 and 25,M,High School,Freelance,13.0,2020-09-15
236,5.0,50.0,-12.5,-30.0,26.5,Between 26 and 35,F,First Level Master Degree,Permanent Employee,13.0,2020-09-15
238,3.0,57.5,7.5,-30.0,27.5,Between 26 and 35,F,Bachelor's Degree,Permanent Employee,13.0,2020-09-15
241,4.0,42.5,25.0,22.5,71.5,Between 26 and 35,M,High School,Permanent Employee,12.0,2020-09-15
243,6.0,50.0,30.0,2.5,44.0,Between 56 and 65,F,High School,Retired,12.0,2020-09-15
244,5.0,45.0,2.5,-27.5,20.0,Between 26 and 35,M,High School,I'd rather not answer,13.0,2020-09-15
245,5.0,67.5,-5.0,-75.0,3.0,Between 36 and 45,M,Bachelor's Degree,Freelance,9.0,2020-09-15
246,2.0,55.0,27.5,47.5,91.0,Between 46 and 55,M,High School,Entrepreneur,12.0,2020-09-15
247,6.0,35.0,0.0,-2.5,43.0,Between 36 and 45,F,First Level Master Degree,Public Employee,13.0,2020-09-16
248,4.0,7.5,-2.5,30.0,75.0,Between 26 and 35,F,Master's Degree,Freelance,28.0,2020-09-16
249,5.0,15.0,-20.0,2.5,12.0,Between 26 and 35,M,High School,Permanent Employee,27.0,2020-09-16
250,2.0,75.0,65.0,67.5,117.0,Between 26 and 35,M,High School,Fixed Term Employee,2.0,2020-09-16
251,2.0,67.5,27.5,82.5,112.0,Between 18 and 25,M,High School,Looking for employment,2.0,2020-09-16
252,3.0,57.5,-5.0,-35.0,50.5,Between 36 and 45,M,First Level Master Degree,Public Employee,13.0,2020-09-16
253,2.0,70.0,32.5,47.5,86.5,Between 36 and 45,F,PhD,Public Employee,12.0,2020-09-16
254,5.0,-90.0,-90.0,-140.0,-172.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,39.0,2020-09-16
255,4.0,52.5,-17.5,12.5,79.5,Between 36 and 45,M,Bachelor's Degree,Permanent Employee,12.0,2020-09-16
256,5.0,42.5,-15.0,-30.0,32.0,Between 46 and 55,F,High School,I'd rather not answer,13.0,2020-09-16
257,2.0,75.0,35.0,80.0,109.5,Between 36 and 45,M,PhD,Post-Doc,2.0,2020-09-16
259,5.0,35.0,-7.5,-50.0,19.0,Between 46 and 55,M,Bachelor's Degree,Public Employee,16.0,2020-09-16
260,4.0,42.5,17.5,22.5,52.0,Between 36 and 45,F,High School,Permanent Employee,12.0,2020-09-16
261,3.0,72.5,5.0,-40.0,34.0,Between 26 and 35,F,Bachelor's Degree,Public Employee,12.0,2020-09-16
264,4.0,55.0,7.5,-2.5,71.5,Between 46 and 55,F,High School,Public Employee,12.0,2020-09-16
265,2.0,62.5,22.5,50.0,92.0,Between 18 and 25,M,High School,I'd rather not answer,12.0,2020-09-16
278,6.0,62.5,0.0,0.0,54.5,Between 36 and 45,F,High School,Freelance,12.0,2020-09-16
281,5.0,62.5,-15.0,-65.0,-9.5,Between 36 and 45,M,Master's Degree,Public Employee,9.0,2020-09-16
282,5.0,62.5,-45.0,-47.5,21.5,Between 36 and 45,M,High School,Fixed Term Employee,9.0,2020-09-16
286,2.0,60.0,45.0,95.0,109.5,Between 26 and 35,M,Master's Degree,Permanent Employee,14.0,2020-09-16
287,5.0,60.0,-17.5,-40.0,30.0,Between 46 and 55,M,High School,Permanent Employee,9.0,2020-09-16
288,5.0,47.5,-15.0,-32.5,32.5,Between 26 and 35,M,Master's Degree,Public Employee,13.0,2020-09-16
290,3.0,47.5,5.0,-20.0,20.0,More than 65,M,Bachelor's Degree,Retired,13.0,2020-09-16
292,3.0,15.0,-2.5,-15.0,40.0,Between 18 and 25,M,High School,Looking for employment,27.0,2020-09-16
293,2.0,37.5,50.0,40.0,85.0,Between 36 and 45,M,Master's Degree,Freelance,21.0,2020-09-16
294,3.0,-7.5,-35.0,-27.5,53.0,Between 36 and 45,M,Bachelor's Degree,Entrepreneur,27.0,2020-09-16
295,5.0,-20.0,0.0,20.0,-6.0,Less than 18,M,Middle School,Student,27.0,2020-09-16
296,5.0,52.5,-17.5,-40.0,36.5,Between 26 and 35,M,High School,Permanent Employee,13.0,2020-09-16
297,4.0,35.0,-5.0,20.0,60.5,Between 26 and 35,M,Master's Degree,Entrepreneur,19.0,2020-09-16
298,3.0,47.5,-5.0,-22.5,23.5,Between 46 and 55,F,Middle School,Freelance,13.0,2020-09-16
299,5.0,-10.0,12.5,10.0,-16.5,Between 18 and 25,M,High School,Looking for employment,27.0,2020-09-16
300,6.0,30.0,-22.5,-2.5,72.0,Between 18 and 25,M,High School,Student,13.0,2020-09-16
301,4.0,15.0,-7.5,7.5,76.0,Between 18 and 25,M,Bachelor's Degree,University Student,28.0,2020-09-16
302,4.0,50.0,12.5,27.5,57.5,Less than 18,N,I'd rather not answer,I'd rather not answer,12.0,2020-09-16
303,2.0,47.5,40.0,35.0,86.0,Between 26 and 35,N,Master's Degree,Student,21.0,2020-09-16
304,2.0,72.5,40.0,82.5,99.5,Between 18 and 25,N,Bachelor's Degree,Student,2.0,2020-09-16
305,2.0,50.0,5.0,40.0,94.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,12.0,2020-09-16
306,5.0,32.5,-10.0,-7.5,-6.5,More than 65,M,Vocational qualification,Retired,27.0,2020-09-16
307,4.0,32.5,10.0,12.5,56.5,Between 46 and 55,F,Middle School,I'd rather not answer,19.0,2020-09-16
308,2.0,50.0,45.0,40.0,106.0,Between 26 and 35,M,High School,Fixed Term Employee,21.0,2020-09-16
309,4.0,65.0,20.0,15.0,75.5,Between 18 and 25,F,Bachelor's Degree,University Student,12.0,2020-09-16
311,6.0,55.0,-5.0,-27.5,59.0,Between 46 and 55,F,High School,Entrepreneur,13.0,2020-09-16
312,4.0,42.5,0.0,0.0,70.0,Between 18 and 25,M,High School,Student,12.0,2020-09-16
313,2.0,62.5,20.0,35.0,88.5,Between 18 and 25,M,High School,Fixed Term Employee,12.0,2020-09-16
314,4.0,50.0,5.0,10.0,51.0,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-16
315,5.0,27.5,-25.0,-55.0,8.0,Between 18 and 25,M,High School,Public Employee,16.0,2020-09-16
316,4.0,52.5,20.0,35.0,77.0,Between 18 and 25,M,High School,University Student,12.0,2020-09-16
318,6.0,25.0,-2.5,0.0,38.5,Between 18 and 25,M,Middle School,I'd rather not answer,28.0,2020-09-16
319,6.0,42.5,-2.5,17.5,22.0,Between 18 and 25,F,High School,University Student,13.0,2020-09-16
322,4.0,55.0,5.0,22.5,67.0,Between 18 and 25,M,High School,Student,12.0,2020-09-16
323,4.0,32.5,-12.5,42.5,37.0,Between 18 and 25,M,High School,Student,28.0,2020-09-16
325,2.0,52.5,25.0,60.0,114.5,Between 36 and 45,F,High School,Looking for employment,21.0,2020-09-16
326,5.0,10.0,-35.0,-77.5,10.0,Between 26 and 35,M,High School,Permanent Employee,16.0,2020-09-16
327,6.0,20.0,10.0,10.0,41.0,Between 56 and 65,F,Middle School,I'd rather not answer,28.0,2020-09-16
328,3.0,37.5,17.5,-17.5,31.0,Between 18 and 25,F,High School,University Student,13.0,2020-09-16
329,5.0,47.5,-10.0,-52.5,37.5,Between 18 and 25,M,High School,Fixed Term Employee,9.0,2020-09-16
330,2.0,45.0,65.0,77.5,96.0,Between 36 and 45,F,High School,I'd rather not answer,14.0,2020-09-16
331,4.0,50.0,15.0,32.5,69.0,Between 26 and 35,F,Master's Degree,Looking for employment,12.0,2020-09-16
332,4.0,37.5,-2.5,27.5,58.5,Between 26 and 35,F,High School,Permanent Employee,19.0,2020-09-16
333,2.0,55.0,45.0,60.0,110.0,Between 26 and 35,F,Master's Degree,Freelance,14.0,2020-09-16
335,6.0,62.5,20.0,-22.5,40.5,Between 46 and 55,F,Vocational qualification,I'd rather not answer,12.0,2020-09-16
336,4.0,65.0,25.0,27.5,60.0,Between 36 and 45,F,First Level Master Degree,Fixed Term Employee,12.0,2020-09-16
337,4.0,55.0,5.0,2.5,61.5,Between 26 and 35,F,Master's Degree,Looking for employment,12.0,2020-09-16
338,5.0,42.5,15.0,-37.5,3.0,Between 46 and 55,F,Middle School,I'd rather not answer,16.0,2020-09-16
339,5.0,50.0,15.0,-57.5,8.0,Between 26 and 35,F,High School,Entrepreneur,9.0,2020-09-16
341,5.0,50.0,-50.0,-40.0,28.5,Between 26 and 35,M,Bachelor's Degree,Freelance,9.0,2020-09-16
