,nearest_public_figure_id,econ,dipl,govt,scty,age,sex,study,work,nearest_result_id,date
187,5.0,35.0,-7.5,-50.0,19.0,Between 46 and 55,M,Bachelor's Degree,Public Employee,16.0,2020-09-16
188,4.0,42.5,17.5,22.5,52.0,Between 36 and 45,F,High School,Permanent Employee,12.0,2020-09-16
189,3.0,72.5,5.0,-40.0,34.0,Between 26 and 35,F,Bachelor's Degree,Public Employee,12.0,2020-09-16
190,4.0,55.0,7.5,-2.5,71.5,Between 46 and 55,F,High School,Public Employee,12.0,2020-09-16
191,2.0,62.5,22.5,50.0,92.0,Between 18 and 25,M,High School,I'd rather not answer,12.0,2020-09-16
192,6.0,62.5,0.0,0.0,54.5,Between 36 and 45,F,High School,Freelance,12.0,2020-09-16
193,5.0,62.5,-15.0,-65.0,-9.5,Between 36 and 45,M,Master's Degree,Public Employee,9.0,2020-09-16
194,5.0,62.5,-45.0,-47.5,21.5,Between 36 and 45,M,High School,Fixed Term Employee,9.0,2020-09-16
195,2.0,60.0,45.0,95.0,109.5,Between 26 and 35,M,Master's Degree,Permanent Employee,14.0,2020-09-16
196,5.0,60.0,-17.5,-40.0,30.0,Between 46 and 55,M,High School,Permanent Employee,9.0,2020-09-16
197,5.0,47.5,-15.0,-32.5,32.5,Between 26 and 35,M,Master's Degree,Public Employee,13.0,2020-09-16
198,3.0,47.5,5.0,-20.0,20.0,More than 65,M,Bachelor's Degree,Retired,13.0,2020-09-16
199,3.0,15.0,-2.5,-15.0,40.0,Between 18 and 25,M,High School,Looking for employment,27.0,2020-09-16
200,2.0,37.5,50.0,40.0,85.0,Between 36 and 45,M,Master's Degree,Freelance,21.0,2020-09-16
201,3.0,-7.5,-35.0,-27.5,53.0,Between 36 and 45,M,Bachelor's Degree,Entrepreneur,27.0,2020-09-16
202,5.0,-20.0,0.0,20.0,-6.0,Less than 18,M,Middle School,Student,27.0,2020-09-16
203,5.0,52.5,-17.5,-40.0,36.5,Between 26 and 35,M,High School,Permanent Employee,13.0,2020-09-16
204,4.0,35.0,-5.0,20.0,60.5,Between 26 and 35,M,Master's Degree,Entrepreneur,19.0,2020-09-16
205,3.0,47.5,-5.0,-22.5,23.5,Between 46 and 55,F,Middle School,Freelance,13.0,2020-09-16
206,5.0,-10.0,12.5,10.0,-16.5,Between 18 and 25,M,High School,Looking for employment,27.0,2020-09-16
207,6.0,30.0,-22.5,-2.5,72.0,Between 18 and 25,M,High School,Student,13.0,2020-09-16
208,4.0,15.0,-7.5,7.5,76.0,Between 18 and 25,M,Bachelor's Degree,University Student,28.0,2020-09-16
209,4.0,50.0,12.5,27.5,57.5,Less than 18,N,I'd rather not answer,I'd rather not answer,12.0,2020-09-16
210,2.0,47.5,40.0,35.0,86.0,Between 26 and 35,N,Master's Degree,Student,21.0,2020-09-16
211,2.0,72.5,40.0,82.5,99.5,Between 18 and 25,N,Bachelor's Degree,Student,2.0,2020-09-16
212,2.0,50.0,5.0,40.0,94.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,12.0,2020-09-16
213,5.0,32.5,-10.0,-7.5,-6.5,More than 65,M,Vocational qualification,Retired,27.0,2020-09-16
214,4.0,32.5,10.0,12.5,56.5,Between 46 and 55,F,Middle School,I'd rather not answer,19.0,2020-09-16
215,2.0,50.0,45.0,40.0,106.0,Between 26 and 35,M,High School,Fixed Term Employee,21.0,2020-09-16
216,4.0,65.0,20.0,15.0,75.5,Between 18 and 25,F,Bachelor's Degree,University Student,12.0,2020-09-16
217,6.0,55.0,-5.0,-27.5,59.0,Between 46 and 55,F,High School,Entrepreneur,13.0,2020-09-16
218,4.0,42.5,0.0,0.0,70.0,Between 18 and 25,M,High School,Student,12.0,2020-09-16
219,2.0,62.5,20.0,35.0,88.5,Between 18 and 25,M,High School,Fixed Term Employee,12.0,2020-09-16
220,4.0,50.0,5.0,10.0,51.0,Between 36 and 45,M,High School,Permanent Employee,12.0,2020-09-16
221,5.0,27.5,-25.0,-55.0,8.0,Between 18 and 25,M,High School,Public Employee,16.0,2020-09-16
222,4.0,52.5,20.0,35.0,77.0,Between 18 and 25,M,High School,University Student,12.0,2020-09-16
223,6.0,25.0,-2.5,0.0,38.5,Between 18 and 25,M,Middle School,I'd rather not answer,28.0,2020-09-16
224,6.0,42.5,-2.5,17.5,22.0,Between 18 and 25,F,High School,University Student,13.0,2020-09-16
225,4.0,55.0,5.0,22.5,67.0,Between 18 and 25,M,High School,Student,12.0,2020-09-16
226,4.0,32.5,-12.5,42.5,37.0,Between 18 and 25,M,High School,Student,28.0,2020-09-16
227,2.0,52.5,25.0,60.0,114.5,Between 36 and 45,F,High School,Looking for employment,21.0,2020-09-16
228,5.0,10.0,-35.0,-77.5,10.0,Between 26 and 35,M,High School,Permanent Employee,16.0,2020-09-16
229,6.0,20.0,10.0,10.0,41.0,Between 56 and 65,F,Middle School,I'd rather not answer,28.0,2020-09-16
230,3.0,37.5,17.5,-17.5,31.0,Between 18 and 25,F,High School,University Student,13.0,2020-09-16
231,5.0,47.5,-10.0,-52.5,37.5,Between 18 and 25,M,High School,Fixed Term Employee,9.0,2020-09-16
232,2.0,45.0,65.0,77.5,96.0,Between 36 and 45,F,High School,I'd rather not answer,14.0,2020-09-16
233,4.0,50.0,15.0,32.5,69.0,Between 26 and 35,F,Master's Degree,Looking for employment,12.0,2020-09-16
234,4.0,37.5,-2.5,27.5,58.5,Between 26 and 35,F,High School,Permanent Employee,19.0,2020-09-16
235,2.0,55.0,45.0,60.0,110.0,Between 26 and 35,F,Master's Degree,Freelance,14.0,2020-09-16
236,6.0,62.5,20.0,-22.5,40.5,Between 46 and 55,F,Vocational qualification,I'd rather not answer,12.0,2020-09-16
237,4.0,65.0,25.0,27.5,60.0,Between 36 and 45,F,First Level Master Degree,Fixed Term Employee,12.0,2020-09-16
238,4.0,55.0,5.0,2.5,61.5,Between 26 and 35,F,Master's Degree,Looking for employment,12.0,2020-09-16
239,5.0,42.5,15.0,-37.5,3.0,Between 46 and 55,F,Middle School,I'd rather not answer,16.0,2020-09-16
240,5.0,50.0,15.0,-57.5,8.0,Between 26 and 35,F,High School,Entrepreneur,9.0,2020-09-16
241,5.0,50.0,-50.0,-40.0,28.5,Between 26 and 35,M,Bachelor's Degree,Freelance,9.0,2020-09-16
