nearest_public_figure_id,econ,dipl,govt,scty,age,sex,study,work,nearest_result_id
6.0,50.0,-5.0,-40.0,66.5,Between 26 and 35,M,High School,Public Employee,13.0
2.0,57.5,15.0,32.5,92.5,Between 18 and 25,F,Bachelor's Degree,University Student,12.0
5.0,45.0,-15.0,-40.0,4.0,Between 18 and 25,M,High School,Student,16.0
4.0,45.0,22.5,32.5,63.5,Between 26 and 35,M,Vocational qualification,Freelance,19.0
2.0,70.0,5.0,27.5,97.5,Between 18 and 25,F,Bachelor's Degree,University Student,12.0
3.0,47.5,-17.5,-10.0,37.5,Between 26 and 35,M,High School,Entrepreneur,13.0
4.0,70.0,27.5,0.0,74.0,Between 46 and 55,N,I'd rather not answer,I'd rather not answer,12.0
5.0,55.0,-20.0,-70.0,8.0,Between 18 and 25,M,High School,Looking for employment,9.0
4.0,55.0,10.0,10.0,72.5,Between 36 and 45,M,High School,Permanent Employee,12.0
6.0,47.5,10.0,0.0,47.5,Between 26 and 35,F,Bachelor's Degree,Public Employee,12.0
5.0,35.0,-25.0,-40.0,-12.0,Between 18 and 25,M,Bachelor's Degree,Freelance,16.0
6.0,40.0,-10.0,10.0,44.0,Between 26 and 35,M,First Level Master Degree,Freelance,13.0
4.0,52.5,12.5,25.0,73.0,Between 26 and 35,F,High School,Student,12.0
4.0,27.5,30.0,25.0,51.0,Between 36 and 45,M,High School,Permanent Employee,19.0
2.0,65.0,27.5,50.0,108.5,Between 26 and 35,F,High School,University Student,12.0
5.0,30.0,-27.5,-35.0,12.5,Between 26 and 35,M,Master's Degree,Permanent Employee,16.0
4.0,27.5,7.5,25.0,78.5,Between 26 and 35,F,Bachelor's Degree,University Student,19.0
4.0,20.0,22.5,15.0,66.5,Between 26 and 35,F,First Level Master Degree,Freelance,19.0
6.0,35.0,0.0,20.0,31.0,Between 56 and 65,F,Master's Degree,Public Employee,28.0
3.0,40.0,15.0,5.0,14.0,Between 46 and 55,F,Master's Degree,I'd rather not answer,13.0
3.0,67.5,-10.0,-45.0,38.0,Between 46 and 55,M,High School,Permanent Employee,9.0
5.0,27.5,5.0,-22.5,4.0,Between 56 and 65,M,High School,Freelance,27.0
4.0,67.5,7.5,17.5,57.5,Between 36 and 45,F,First Level Master Degree,Permanent Employee,12.0
5.0,42.5,-15.0,-75.0,13.0,Between 18 and 25,F,Master's Degree,University Student,16.0
2.0,67.5,52.5,37.5,125.0,Between 36 and 45,M,PhD,Freelance,2.0
2.0,55.0,35.0,47.5,86.0,Between 18 and 25,M,Master's Degree,University Student,12.0
4.0,65.0,25.0,20.0,61.0,Between 18 and 25,F,High School,University Student,12.0
2.0,72.5,7.5,25.0,96.0,Between 26 and 35,F,Master's Degree,Public Employee,12.0
5.0,40.0,-22.5,-42.5,16.5,Between 26 and 35,M,Master's Degree,Permanent Employee,16.0
4.0,37.5,15.0,22.5,61.0,Between 26 and 35,M,Master's Degree,Permanent Employee,19.0
5.0,35.0,5.0,-25.0,13.0,Between 56 and 65,M,High School,Retired,16.0
5.0,30.0,15.0,-30.0,22.5,Between 26 and 35,F,Master's Degree,Fixed Term Employee,16.0
6.0,17.5,20.0,7.5,24.5,Less than 18,M,I'd rather not answer,I'd rather not answer,28.0
4.0,27.5,17.5,27.5,82.5,Between 26 and 35,F,Bachelor's Degree,University Student,19.0
5.0,12.5,-22.5,-35.0,18.0,Between 56 and 65,M,Middle School,Permanent Employee,27.0
6.0,-35.0,5.0,85.0,-27.0,Between 26 and 35,M,Vocational qualification,Permanent Employee,47.0
5.0,60.0,5.0,-42.5,-1.0,Between 46 and 55,F,I'd rather not answer,I'd rather not answer,9.0
2.0,50.0,17.5,35.0,121.0,Between 26 and 35,F,First Level Master Degree,Fixed Term Employee,12.0
5.0,37.5,-15.0,-47.5,18.0,Between 36 and 45,F,Vocational qualification,Freelance,16.0
3.0,60.0,-5.0,-22.5,24.0,Between 36 and 45,F,Master's Degree,Permanent Employee,13.0
4.0,22.5,7.5,25.0,43.0,Between 56 and 65,F,Middle School,I'd rather not answer,28.0
6.0,50.0,0.0,-10.0,37.0,Between 26 and 35,M,Bachelor's Degree,Permanent Employee,13.0
6.0,57.5,27.5,-7.5,31.5,Between 56 and 65,F,High School,Public Employee,12.0
2.0,52.5,37.5,60.0,68.5,Between 26 and 35,F,Master's Degree,Looking for employment,21.0
2.0,50.0,22.5,52.5,119.5,Between 26 and 35,M,PhD,Permanent Employee,21.0
6.0,55.0,20.0,-15.0,39.5,Between 26 and 35,F,Bachelor's Degree,I'd rather not answer,12.0
5.0,25.0,-22.5,-17.5,28.0,Between 26 and 35,M,Master's Degree,Entrepreneur,16.0
5.0,-27.5,-42.5,-85.0,-24.5,Between 26 and 35,M,Master's Degree,Freelance,30.0
5.0,-40.0,-62.5,-47.5,-29.5,Between 26 and 35,F,Master's Degree,Public Employee,30.0
3.0,47.5,0.0,-17.5,19.0,Between 26 and 35,F,Master's Degree,Freelance,13.0
6.0,30.0,22.5,-7.5,44.0,Between 56 and 65,F,High School,Public Employee,19.0
5.0,-25.0,-52.5,-60.0,-24.5,Between 26 and 35,M,Master's Degree,Freelance,30.0
2.0,37.5,7.5,45.0,97.0,Between 18 and 25,F,Bachelor's Degree,University Student,19.0
6.0,45.0,15.0,2.5,51.0,Between 26 and 35,M,High School,Entrepreneur,12.0
6.0,67.5,15.0,-20.0,54.0,Between 26 and 35,F,Bachelor's Degree,Fixed Term Employee,12.0
5.0,0.0,0.0,-10.0,0.0,More than 65,M,High School,Retired,27.0
4.0,55.0,20.0,17.5,58.5,Between 36 and 45,F,Master's Degree,Freelance,12.0
3.0,30.0,12.5,-17.5,33.5,Between 36 and 45,F,High School,Freelance,16.0
2.0,75.0,57.5,65.0,118.0,Between 26 and 35,F,Bachelor's Degree,Freelance,2.0
2.0,32.5,22.5,77.5,91.0,Between 36 and 45,F,High School,Freelance,21.0
4.0,57.5,12.5,27.5,59.0,Between 36 and 45,F,Master's Degree,Freelance,12.0
5.0,-5.0,-57.5,-122.5,-42.0,Between 46 and 55,M,I'd rather not answer,I'd rather not answer,37.0
4.0,45.0,5.0,15.0,63.5,Between 26 and 35,F,High School,Fixed Term Employee,12.0
6.0,55.0,-22.5,12.5,50.0,Between 36 and 45,M,PhD,I'd rather not answer,13.0
6.0,32.5,-5.0,15.0,43.5,Between 56 and 65,F,High School,Retired,28.0
5.0,42.5,12.5,-10.0,8.0,More than 65,N,I'd rather not answer,I'd rather not answer,13.0
4.0,62.5,25.0,5.0,77.0,Between 46 and 55,M,High School,Permanent Employee,12.0
2.0,72.5,35.0,45.0,89.5,Between 36 and 45,M,High School,Permanent Employee,12.0
4.0,45.0,22.5,40.0,63.5,Between 36 and 45,M,Bachelor's Degree,Freelance,19.0
6.0,50.0,2.5,-2.5,45.0,Between 46 and 55,F,Middle School,Freelance,12.0
5.0,2.5,-42.5,-50.0,0.5,Between 26 and 35,M,Master's Degree,Student,37.0
2.0,67.5,45.0,72.5,83.5,Between 46 and 55,M,I'd rather not answer,Entrepreneur,14.0
3.0,55.0,12.5,-35.0,29.0,Between 46 and 55,F,Master's Degree,Public Employee,13.0
3.0,45.0,5.0,-17.5,28.0,Between 36 and 45,F,Vocational qualification,Looking for employment,13.0
6.0,50.0,15.0,0.0,51.0,Between 26 and 35,M,Bachelor's Degree,Entrepreneur,12.0
4.0,75.0,47.5,12.5,78.5,Between 36 and 45,M,High School,Permanent Employee,4.0
2.0,77.5,35.0,77.5,94.5,Between 36 and 45,M,Bachelor's Degree,Freelance,2.0
6.0,42.5,2.5,-2.5,36.5,Between 36 and 45,M,First Level Master Degree,Permanent Employee,13.0
5.0,5.0,5.0,5.0,5.0,Between 26 and 35,F,I'd rather not answer,I'd rather not answer,27.0
5.0,-75.0,-90.0,-120.0,-139.5,Between 36 and 45,M,Bachelor's Degree,Freelance,39.0
4.0,50.0,5.0,15.0,51.0,Between 18 and 25,F,High School,Permanent Employee,12.0
4.0,65.0,20.0,7.5,46.0,Between 36 and 45,M,High School,Freelance,12.0
5.0,57.5,-35.0,-75.0,8.0,Between 46 and 55,F,Middle School,I'd rather not answer,9.0
4.0,50.0,5.0,7.5,68.5,Between 36 and 45,F,Master's Degree,Permanent Employee,12.0
2.0,70.0,52.5,120.0,122.0,Between 26 and 35,F,Master's Degree,Permanent Employee,2.0
2.0,62.5,60.0,117.5,144.5,Between 26 and 35,M,Master's Degree,Public Employee,14.0
5.0,20.0,-37.5,-42.5,7.5,Between 46 and 55,F,Middle School,Freelance,16.0
2.0,65.0,20.0,12.5,116.5,Between 18 and 25,F,High School,University Student,12.0
3.0,42.5,-15.0,-22.5,38.5,Between 18 and 25,M,High School,Freelance,13.0
5.0,50.0,-12.5,-30.0,26.5,Between 26 and 35,F,First Level Master Degree,Permanent Employee,13.0
3.0,57.5,7.5,-30.0,27.5,Between 26 and 35,F,Bachelor's Degree,Permanent Employee,13.0
4.0,42.5,25.0,22.5,71.5,Between 26 and 35,M,High School,Permanent Employee,12.0
6.0,50.0,30.0,2.5,44.0,Between 56 and 65,F,High School,Retired,12.0
5.0,45.0,2.5,-27.5,20.0,Between 26 and 35,M,High School,I'd rather not answer,13.0
5.0,67.5,-5.0,-75.0,3.0,Between 36 and 45,M,Bachelor's Degree,Freelance,9.0
2.0,55.0,27.5,47.5,91.0,Between 46 and 55,M,High School,Entrepreneur,12.0
6.0,35.0,0.0,-2.5,43.0,Between 36 and 45,F,First Level Master Degree,Public Employee,13.0
4.0,7.5,-2.5,30.0,75.0,Between 26 and 35,F,Master's Degree,Freelance,28.0
5.0,15.0,-20.0,2.5,12.0,Between 26 and 35,M,High School,Permanent Employee,27.0
2.0,75.0,65.0,67.5,117.0,Between 26 and 35,M,High School,Fixed Term Employee,2.0
2.0,67.5,27.5,82.5,112.0,Between 18 and 25,M,High School,Looking for employment,2.0
3.0,57.5,-5.0,-35.0,50.5,Between 36 and 45,M,First Level Master Degree,Public Employee,13.0
2.0,70.0,32.5,47.5,86.5,Between 36 and 45,F,PhD,Public Employee,12.0
5.0,-90.0,-90.0,-140.0,-172.0,I'd rather not answer,N,I'd rather not answer,I'd rather not answer,39.0
4.0,52.5,-17.5,12.5,79.5,Between 36 and 45,M,Bachelor's Degree,Permanent Employee,12.0
5.0,42.5,-15.0,-30.0,32.0,Between 46 and 55,F,High School,I'd rather not answer,13.0
2.0,75.0,35.0,80.0,109.5,Between 36 and 45,M,PhD,Post-Doc,2.0
5.0,35.0,-7.5,-50.0,19.0,Between 46 and 55,M,Bachelor's Degree,Public Employee,16.0
4.0,42.5,17.5,22.5,52.0,Between 36 and 45,F,High School,Permanent Employee,12.0
3.0,72.5,5.0,-40.0,34.0,Between 26 and 35,F,Bachelor's Degree,Public Employee,12.0
4.0,55.0,7.5,-2.5,71.5,Between 46 and 55,F,High School,Public Employee,12.0
2.0,62.5,22.5,50.0,92.0,Between 18 and 25,M,High School,I'd rather not answer,12.0
6.0,62.5,0.0,0.0,54.5,Between 36 and 45,F,High School,Freelance,12.0
5.0,62.5,-15.0,-65.0,-9.5,Between 36 and 45,M,Master's Degree,Public Employee,9.0
5.0,62.5,-45.0,-47.5,21.5,Between 36 and 45,M,High School,Fixed Term Employee,9.0
2.0,60.0,45.0,95.0,109.5,Between 26 and 35,M,Master's Degree,Permanent Employee,14.0
5.0,60.0,-17.5,-40.0,30.0,Between 46 and 55,M,High School,Permanent Employee,9.0
5.0,47.5,-15.0,-32.5,32.5,Between 26 and 35,M,Master's Degree,Public Employee,13.0
3.0,47.5,5.0,-20.0,20.0,More than 65,M,Bachelor's Degree,Retired,13.0
3.0,15.0,-2.5,-15.0,40.0,Between 18 and 25,M,High School,Looking for employment,27.0
2.0,37.5,50.0,40.0,85.0,Between 36 and 45,M,Master's Degree,Freelance,21.0
3.0,-7.5,-35.0,-27.5,53.0,Between 36 and 45,M,Bachelor's Degree,Entrepreneur,27.0
5.0,-20.0,0.0,20.0,-6.0,Less than 18,M,Middle School,Student,27.0
5.0,52.5,-17.5,-40.0,36.5,Between 26 and 35,M,High School,Permanent Employee,13.0
4.0,35.0,-5.0,20.0,60.5,Between 26 and 35,M,Master's Degree,Entrepreneur,19.0
3.0,47.5,-5.0,-22.5,23.5,Between 46 and 55,F,Middle School,Freelance,13.0
5.0,-10.0,12.5,10.0,-16.5,Between 18 and 25,M,High School,Looking for employment,27.0
6.0,30.0,-22.5,-2.5,72.0,Between 18 and 25,M,High School,Student,13.0
4.0,15.0,-7.5,7.5,76.0,Between 18 and 25,M,Bachelor's Degree,University Student,28.0
4.0,50.0,12.5,27.5,57.5,Less than 18,N,I'd rather not answer,I'd rather not answer,12.0
2.0,47.5,40.0,35.0,86.0,Between 26 and 35,N,Master's Degree,Student,21.0
2.0,72.5,40.0,82.5,99.5,Between 18 and 25,N,Bachelor's Degree,Student,2.0
2.0,50.0,5.0,40.0,94.5,Between 18 and 25,M,I'd rather not answer,I'd rather not answer,12.0
5.0,32.5,-10.0,-7.5,-6.5,More than 65,M,Vocational qualification,Retired,27.0
4.0,32.5,10.0,12.5,56.5,Between 46 and 55,F,Middle School,I'd rather not answer,19.0
2.0,50.0,45.0,40.0,106.0,Between 26 and 35,M,High School,Fixed Term Employee,21.0
4.0,65.0,20.0,15.0,75.5,Between 18 and 25,F,Bachelor's Degree,University Student,12.0
6.0,55.0,-5.0,-27.5,59.0,Between 46 and 55,F,High School,Entrepreneur,13.0
4.0,42.5,0.0,0.0,70.0,Between 18 and 25,M,High School,Student,12.0
2.0,62.5,20.0,35.0,88.5,Between 18 and 25,M,High School,Fixed Term Employee,12.0
4.0,50.0,5.0,10.0,51.0,Between 36 and 45,M,High School,Permanent Employee,12.0
5.0,27.5,-25.0,-55.0,8.0,Between 18 and 25,M,High School,Public Employee,16.0
4.0,52.5,20.0,35.0,77.0,Between 18 and 25,M,High School,University Student,12.0
6.0,25.0,-2.5,0.0,38.5,Between 18 and 25,M,Middle School,I'd rather not answer,28.0
6.0,42.5,-2.5,17.5,22.0,Between 18 and 25,F,High School,University Student,13.0
4.0,55.0,5.0,22.5,67.0,Between 18 and 25,M,High School,Student,12.0
4.0,32.5,-12.5,42.5,37.0,Between 18 and 25,M,High School,Student,28.0
2.0,52.5,25.0,60.0,114.5,Between 36 and 45,F,High School,Looking for employment,21.0
5.0,10.0,-35.0,-77.5,10.0,Between 26 and 35,M,High School,Permanent Employee,16.0
6.0,20.0,10.0,10.0,41.0,Between 56 and 65,F,Middle School,I'd rather not answer,28.0
3.0,37.5,17.5,-17.5,31.0,Between 18 and 25,F,High School,University Student,13.0
5.0,47.5,-10.0,-52.5,37.5,Between 18 and 25,M,High School,Fixed Term Employee,9.0
2.0,45.0,65.0,77.5,96.0,Between 36 and 45,F,High School,I'd rather not answer,14.0
4.0,50.0,15.0,32.5,69.0,Between 26 and 35,F,Master's Degree,Looking for employment,12.0
4.0,37.5,-2.5,27.5,58.5,Between 26 and 35,F,High School,Permanent Employee,19.0
2.0,55.0,45.0,60.0,110.0,Between 26 and 35,F,Master's Degree,Freelance,14.0
6.0,62.5,20.0,-22.5,40.5,Between 46 and 55,F,Vocational qualification,I'd rather not answer,12.0
4.0,65.0,25.0,27.5,60.0,Between 36 and 45,F,First Level Master Degree,Fixed Term Employee,12.0
4.0,55.0,5.0,2.5,61.5,Between 26 and 35,F,Master's Degree,Looking for employment,12.0
5.0,42.5,15.0,-37.5,3.0,Between 46 and 55,F,Middle School,I'd rather not answer,16.0
5.0,50.0,15.0,-57.5,8.0,Between 26 and 35,F,High School,Entrepreneur,9.0
5.0,50.0,-50.0,-40.0,28.5,Between 26 and 35,M,Bachelor's Degree,Freelance,9.0
4.0,60.0,15.0,10.0,59.0,Between 36 and 45,F,First Level Master Degree,Public Employee,12.0
4.0,70.0,12.5,20.0,71.0,Between 36 and 45,N,First Level Master Degree,Public Employee,12.0
2.0,55.0,40.0,40.0,72.5,Less than 18,F,Middle School,Student,12.0
4.0,55.0,20.0,37.5,75.0,Between 18 and 25,F,High School,University Student,12.0
4.0,52.5,32.5,40.0,64.0,Between 46 and 55,F,Master's Degree,Public Employee,12.0
5.0,-15.0,20.0,-27.5,-9.5,Between 36 and 45,M,High School,Permanent Employee,27.0
4.0,57.5,17.5,27.5,81.0,Between 26 and 35,M,First Level Master Degree,Permanent Employee,12.0
6.0,62.5,7.5,-10.0,56.5,Between 46 and 55,M,High School,Permanent Employee,12.0
2.0,70.0,45.0,75.0,124.5,Between 36 and 45,M,Master's Degree,Entrepreneur,2.0
4.0,75.0,12.5,20.0,92.5,Between 26 and 35,F,Master's Degree,University Student,12.0
2.0,57.5,5.0,42.5,102.5,Between 26 and 35,F,Master's Degree,Fixed Term Employee,12.0
2.0,52.5,65.0,102.5,112.0,Between 36 and 45,F,Master's Degree,Freelance,14.0
6.0,50.0,-5.0,-25.0,56.5,Between 36 and 45,F,Master's Degree,Freelance,13.0
4.0,52.5,20.0,25.0,88.5,Between 36 and 45,F,First Level Master Degree,Permanent Employee,12.0
5.0,30.0,-30.0,-55.0,3.0,Between 26 and 35,F,Master's Degree,Freelance,16.0
4.0,55.0,17.5,17.5,56.0,Between 26 and 35,F,Master's Degree,Freelance,12.0
2.0,65.0,22.5,40.0,84.5,Between 46 and 55,M,Master's Degree,Fixed Term Employee,12.0
6.0,57.5,-5.0,-7.5,43.5,Between 46 and 55,F,High School,Freelance,12.0
4.0,77.5,10.0,32.5,58.0,Between 36 and 45,M,High School,Entrepreneur,12.0
4.0,62.5,12.5,10.0,86.0,Between 46 and 55,M,High School,Permanent Employee,12.0
5.0,42.5,-10.0,-35.0,24.0,Between 26 and 35,M,High School,University Student,13.0
5.0,35.0,7.5,-37.5,25.5,Between 36 and 45,M,Bachelor's Degree,Public Employee,16.0
4.0,27.5,15.0,17.5,46.0,Between 46 and 55,F,High School,Freelance,19.0
2.0,82.5,-10.0,62.5,113.5,Between 26 and 35,F,Master's Degree,Student,12.0
3.0,12.5,-10.0,-42.5,50.5,Between 26 and 35,M,High School,Entrepreneur,16.0
6.0,72.5,-12.5,-15.0,58.5,Between 18 and 25,M,High School,University Student,12.0
5.0,37.5,-5.0,-55.0,24.0,Between 36 and 45,F,Master's Degree,Permanent Employee,16.0
5.0,20.0,-10.0,-17.5,4.5,Between 46 and 55,F,Middle School,Looking for employment,27.0
5.0,60.0,-25.0,-20.0,19.5,Between 36 and 45,M,High School,I'd rather not answer,13.0
2.0,72.5,32.5,37.5,109.5,Between 26 and 35,M,First Level Master Degree,Permanent Employee,4.0
2.0,60.0,35.0,65.0,82.0,Between 26 and 35,M,High School,Fixed Term Employee,21.0
2.0,45.0,20.0,55.0,82.0,Between 56 and 65,M,I'd rather not answer,Freelance,21.0
2.0,65.0,30.0,55.0,89.5,Between 26 and 35,F,Bachelor's Degree,Freelance,12.0
2.0,67.5,35.0,47.5,102.0,Between 26 and 35,M,Master's Degree,Public Employee,12.0
6.0,80.0,5.0,0.0,22.0,Between 46 and 55,M,High School,I'd rather not answer,12.0
3.0,40.0,-7.5,-30.0,45.0,Between 46 and 55,M,Middle School,Entrepreneur,13.0
4.0,62.5,7.5,30.0,76.0,Between 18 and 25,M,Master's Degree,University Student,12.0
2.0,7.5,30.0,50.0,84.5,Between 18 and 25,M,High School,Student,19.0
6.0,60.0,5.0,-10.0,38.5,Between 36 and 45,M,Bachelor's Degree,Permanent Employee,12.0
2.0,75.0,35.0,40.0,68.5,Between 36 and 45,M,PhD,Fixed Term Employee,12.0
2.0,60.0,35.0,72.5,125.0,Between 26 and 35,M,PhD,Public Employee,14.0
2.0,62.5,7.5,25.0,108.5,Between 26 and 35,F,High School,University Student,12.0
6.0,10.0,30.0,15.0,26.5,Between 46 and 55,M,High School,Fixed Term Employee,28.0
5.0,22.5,-30.0,-47.5,-12.0,Between 36 and 45,M,High School,Permanent Employee,16.0
4.0,62.5,17.5,2.5,69.0,Between 36 and 45,F,First Level Master Degree,I'd rather not answer,12.0
5.0,55.0,-50.0,-115.0,-27.0,Between 56 and 65,M,High School,Retired,10.0
